Date,High,Low,Volume,Close,
04/28/2021,9.97,10.46,9.85,10.44,16965301
04/27/2021,10.02,10.14,9.83,9.96,8849300
04/26/2021,10.22,10.24,9.64,10.02,38117301
04/23/2021,10.52,10.56,10.12,10.22,23778699
04/22/2021,10.56,10.8,10.5,10.5,8059100
04/21/2021,10.52,10.64,10.5,10.54,4580600
04/20/2021,10.74,10.84,10.48,10.52,13911200
04/19/2021,10.84,10.86,10.68,10.74,6493000
04/16/2021,10.62,10.86,10.42,10.7,13158700
04/15/2021,10.72,10.86,10.6,10.62,6486600
04/14/2021,10.54,10.84,10.54,10.7,7684100
04/13/2021,11.16,11.16,10.54,10.6,17036199
04/12/2021,11.1,11.3,11.02,11.02,9247500
04/08/2021,11.1,11.14,10.76,10.98,15204300
03/22/2021,9.35,9.94,9.05,9.8,47293199
03/19/2021,10.5,10.6,9.91,10,44807699
03/18/2021,11,11.24,10.44,10.52,49209500
03/17/2021,10.26,10.9,10.26,10.64,39554000
03/16/2021,9.5,10.38,9.15,10.18,52614801
03/15/2021,11.4,11.4,9.15,9.85,147283391
03/12/2021,10.88,11.6,10.7,11.38,144173406
03/11/2021,8.5,11,8.43,10.5,325534031
03/10/2021,11.38,11.6,8.5,9,403894312
03/09/2021,12.8,13.6,12,12,125552602
03/08/2021,15.24,15.44,12.72,13.9,106663602
03/05/2021,15.5,15.74,15,15.24,17256801
03/04/2021,15.82,16.16,15.24,15.52,34058602
03/03/2021,14.98,15.74,14.5,15.72,73373203
03/02/2021,15.8,15.92,15.02,15.06,86089398
03/01/2021,16.26,16.78,16.04,16.12,34370000
02/10/2021,15.62,17.1,15.42,17.1,99807906
02/09/2021,16.64,17.3,15.84,15.88,169782703
02/08/2021,14.92,16.4,14.8,16.4,144786094
02/05/2021,14.1,14.6,13.84,14.54,58104398
02/04/2021,13.18,14.1,13.04,13.98,51037602
02/03/2021,14.2,14.44,13.5,13.5,85590094
02/02/2021,12.72,13.66,12.72,13.66,69166602
02/01/2021,12,12.6,11.9,12.5,39949801
01/29/2021,11.92,12.1,11.7,12,11838700
01/28/2021,11.58,12.3,11.54,11.92,24149199
01/27/2021,11.02,11.92,10.76,11.76,29790199
01/26/2021,12,12.1,11,11.02,42344102
01/25/2021,12.42,12.66,11.96,12.16,23038801
01/22/2021,12.4,12.88,12.1,12.3,42982699
01/21/2021,10.94,12.4,10.6,12.1,75090398
01/20/2021,11.06,11.42,10.7,10.94,44374102
01/05/2021,13.92,14.74,12.86,13.4,161466094
01/04/2021,11.4,13.08,11.4,13.02,129105000
12/29/2020,10,11.52,10,10.9,257080797
12/28/2020,8.7,9.89,8.7,9.81,148160891
12/23/2020,8.3,8.76,8.11,8.7,55631500
12/22/2020,8.41,8.94,8.01,8.3,122927398
12/21/2020,8,8.43,7.96,8.35,79158203
12/18/2020,7.76,7.96,7.75,7.93,39078500
12/17/2020,7.65,7.8,7.65,7.72,11815200
12/16/2020,7.76,7.76,7.61,7.65,21484000
12/15/2020,7.83,7.85,7.68,7.72,25130900
12/14/2020,7.55,7.83,7.55,7.74,42637801
12/11/2020,7.17,7.49,7.17,7.46,32599100
12/10/2020,7.25,7.25,7.07,7.17,43615500
12/09/2020,7.4,7.53,7.15,7.25,98138492
12/07/2020,7,7.64,7,7.61,130417000
11/19/2020,6.53,6.53,6.31,6.39,35412602
11/18/2020,6.4,6.87,6.31,6.54,127933695
11/11/2020,7,7.05,6.26,6.3,137627594
11/09/2020,6.17,6.18,5.7,5.88,76220898
11/06/2020,5.59,6.14,4.8,6.11,256993703
11/05/2020,6.2,6.2,5.88,5.89,119228094
11/04/2020,6.5,6.5,6.2,6.31,122995398
11/03/2020,6.82,6.85,6.54,6.62,87956305
10/30/2020,7,7.05,6.8,6.82,80912000
10/29/2020,6.5,6.85,6.21,6.77,99022094
10/28/2020,6.65,6.69,6.5,6.62,24072600
10/27/2020,6.85,6.9,6.56,6.64,45615301
10/26/2020,6.7,6.88,6.7,6.81,39592602
10/23/2020,6.4,6.64,6.36,6.61,46141301
10/22/2020,6.2,6.41,6.2,6.33,41836898
10/21/2020,6.15,6.27,6.12,6.2,18474699
10/06/2020,7,8.05,5.2,6.81,355083094
10/05/2020,5.84,6.84,5.81,6.81,263194719
10/02/2020,5.5,5.9,5.31,5.76,200482594
10/01/2020,4.9,5.94,4.9,5.3,208192984
09/30/2020,4.99,5,4.8,4.9,113490000
09/29/2020,4.7,4.99,4.59,4.99,143364000
09/28/2020,4.25,4.55,4.24,4.49,111269000
09/25/2020,4.13,4.2,4.08,4.2,24928000
09/24/2020,4.15,4.18,4.04,4.1,22584000
09/23/2020,4,4.18,4,4.12,30498000
09/22/2020,4.14,4.27,3.92,3.99,85485000
09/21/2020,3.8,4.19,3.79,4.12,124208000
09/18/2020,3.73,3.77,3.72,3.76,63339000
09/17/2020,3.64,3.71,3.63,3.69,18657000
09/16/2020,3.64,3.65,3.56,3.61,16128000
09/15/2020,3.65,3.75,3.56,3.64,57570000
08/13/2020,3.05,3.12,2.95,3.1,24128000
08/12/2020,3.14,3.2,3.01,3.05,34155000
08/11/2020,3,3.13,3,3.1,38911000
08/10/2020,2.8,2.97,2.78,2.97,31283000
08/07/2020,2.75,2.8,2.74,2.76,9957000
08/06/2020,2.75,2.83,2.75,2.75,14422000
08/05/2020,2.72,2.82,2.72,2.74,19365000
08/04/2020,2.54,2.69,2.51,2.68,17819000
08/03/2020,2.6,2.62,2.52,2.55,27579000
07/30/2020,2.67,2.75,2.67,2.68,13024000
07/29/2020,2.7,2.73,2.6,2.66,24280000
07/28/2020,2.81,2.95,2.75,2.75,67529000
07/27/2020,2.72,2.73,2.63,2.66,11249000
07/24/2020,2.65,2.75,2.6,2.72,24920000
07/23/2020,2.85,2.9,2.61,2.7,55130000
07/22/2020,2.97,3.02,2.88,2.88,18379000
07/21/2020,3.02,3.02,2.94,2.97,39831000
07/20/2020,3,3.03,2.9,3,14740000
07/17/2020,2.94,3.02,2.82,3.01,24091000
07/16/2020,2.76,2.93,2.76,2.92,26657000
07/15/2020,2.88,2.98,2.77,2.79,41910000
07/14/2020,3.1,3.1,2.9,2.9,26830000
07/13/2020,3,3.14,2.87,3.05,23133000
07/10/2020,3.08,3.08,2.95,3.01,32029000
07/09/2020,3.1,3.15,3.03,3.08,15922000
07/08/2020,3.24,3.3,3.05,3.1,63054000
07/07/2020,3.11,3.24,3,3.23,98639000
07/06/2020,2.92,3.04,2.76,3.04,170328000
07/03/2020,3.44,3.46,3,3.04,180306000
07/02/2020,3.26,3.55,3.22,3.44,156770000
07/01/2020,3.76,3.83,3.63,3.77,55593000
06/30/2020,3.76,3.77,3.61,3.7,30840000
06/15/2020,2.63,2.65,2.56,2.57,45523000
06/11/2020,2.76,2.76,2.65,2.72,32327000
06/10/2020,2.77,2.85,2.7,2.78,36399000
06/09/2020,2.8,2.85,2.67,2.77,77960000
06/08/2020,2.64,2.84,2.63,2.81,62309000
06/05/2020,2.54,2.61,2.45,2.6,47328000
06/04/2020,2.65,2.66,2.5,2.54,59269000
06/03/2020,2.45,2.62,2.45,2.61,77354000
06/02/2020,2.34,2.42,2.34,2.42,50327000
06/01/2020,2.27,2.34,2.27,2.32,41034000
05/29/2020,2.21,2.26,2.18,2.25,21882000
05/28/2020,2.22,2.25,2.19,2.2,16071000
05/27/2020,2.17,2.22,2.13,2.21,14712000
05/26/2020,2.23,2.25,2.12,2.17,29130000
05/22/2020,2.28,2.32,2.21,2.21,60949000
05/21/2020,2.17,2.27,2.15,2.27,29070000
05/20/2020,2.19,2.2,2.13,2.16,11917000
05/19/2020,2.24,2.25,2.17,2.19,12595000
05/18/2020,2.15,2.25,2.15,2.2,26211000
05/15/2020,2.13,2.15,2.1,2.14,9807000
05/14/2020,2.15,2.15,2.09,2.11,9287000
05/13/2020,2.15,2.17,2.1,2.14,10329000
