Date,Open,High,Low,Close,Volume,Percentage
06/03/2021,10.12,10.2,9.7,9.9,0,0.0154
06/02/2021,9.78,10.06,9.61,9.75,0,-0.0308
06/01/2021,9.45,9.73,9.35,10.06,,0.0371
05/31/21,9.37,9.58,9.27,9.7,,0.033
5/28/21,9.32,9.44,9.2,9.39,,0.0032
5/27/21,9.7,9.84,9.2,9.36,,0.0086
5/26/21,9.26,9.59,9.15,9.28,,-0.0211
,,,,,,0.0238
,,,,,,0.0644
,,,,,,-0.0564
,,,,,,-0.0139
,,,,,,-0.0498
,,,,,,0.288
,,,,,,-0.0568
,,,,,,-0.099
,,,,,,-0.0186
,,,,,,-0.0358
,,,,,,-0.0166
,,,,,,-0.0143
,,,,,,-0.0101
,,,,,,0.0143
,,,,,,0.0135
,,,,,,-0.0341
,,,,,,-0.0129
,,,,,,-0.0059
,,,,,,-0.0268
,,,,,,0.0482
,,,,,,-0.006
,,,,,,-0.0196
,,,,,,-0.0267
,,,,,,-0.0038
,,,,,,0.0019
,,,,,,-0.0205
,,,,,,0.0037
,,,,,,0.0075
,,,,,,-0.0075
,,,,,,0.0094
,,,,,,-0.0381
,,,,,,0.0036
,,,,,,-0.0054
,,,,,,-0.0036
,,,,,,0.0799
,,,,,,0.0098
,,,,,,-0.0039
,,,,,,-0.002
,,,,,,-0.0192
,,,,,,0.0058
,,,,,,0.0571
,,,,,,-0.0041
,,,,,,0.0041
,,,,,,-0.02
,,,,,,-0.0494
,,,,,,-0.0113
,,,,,,0.0452
,,,,,,0.0335
,,,,,,-0.1344
,,,,,,0.0838
,,,,,,0.1667
,,,,,,-0.25
,,,,,,-0.1367
,,,,,,-0.0879
,,,,,,-0.018
,,,,,,-0.0127
,,,,,,0.0438
,,,,,,-0.0658
,,,,,,-0.0012
,,,,,,0.0088
,,,,,,-0.1011
,,,,,,-0.0177
,,,,,,0.01
,,,,,,0.009
,,,,,,0
,,,,,,-0.0111
,,,,,,0.0333
,,,,,,-0.0169
,,,,,,0.0351
,,,,,,0.0768
,,,,,,-0.0317
,,,,,,0.1279
,,,,,,0.0401
,,,,,,0.0356
,,,,,,-0.0117
,,,,,,0.0928
,,,,,,0.0417
,,,,,,0.0067
,,,,,,0.0136
,,,,,,0.0672
,,,,,,-0.0938
,,,,,,-0.0114
,,,,,,0.0165
,,,,,,0.106
,,,,,,-0.0353
,,,,,,-0.0471
,,,,,,-0.0149
,,,,,,-0.0049
,,,,,,0.005
,,,,,,0.01
,,,,,,-0.0568
,,,,,,-0.0335
,,,,,,0.0331
,,,,,,0.0359
,,,,,,-0.0851
,,,,,,0.0292
,,,,,,0.1945
,,,,,,0.1111
,,,,,,0.1276
,,,,,,0.0482
,,,,,,-0.006
,,,,,,0.053
,,,,,,0.0272
,,,,,,0.0092
,,,,,,-0.0091
,,,,,,-0.0026
,,,,,,0.0375
,,,,,,0.0404
,,,,,,-0.011
,,,,,,-0.0473
,,,,,,0.0997
,,,,,,0.0087
,,,,,,0.0254
,,,,,,0.0388
,,,,,,0.0142
,,,,,,0.0193
,,,,,,-0.0048
,,,,,,0.0016
,,,,,,-0.0111
,,,,,,-0.0125
,,,,,,0.0016
,,,,,,-0.0229
,,,,,,0.0381
,,,,,,0.0714
,,,,,,-0.0376
,,,,,,0.0374
,,,,,,-0.0666
,,,,,,-0.0468
,,,,,,-0.0293
,,,,,,0.0074
,,,,,,0.0227
,,,,,,-0.003
,,,,,,-0.025
,,,,,,0.0303
,,,,,,0.0442
,,,,,,0.021
,,,,,,0.0147
,,,,,,-0.0208
,,,,,,0.023
,,,,,,-0.0145
,,,,,,-0.0032
,,,,,,0.0419
,,,,,,-0.0325
,,,,,,0
,,,,,,0.0732
,,,,,,-0.0052
,,,,,,-0.1527
,,,,,,0
,,,,,,0.1823
,,,,,,0.0868
,,,,,,0.0816
,,,,,,-0.018
,,,,,,0.1114
,,,,,,0.069
,,,,,,0.0244
,,,,,,-0.0049
,,,,,,0.0326
,,,,,,-0.0316
,,,,,,0.0957
,,,,,,0.019
,,,,,,0.0222
,,,,,,-0.0082
,,,,,,0.0028
,,,,,,0.0583
,,,,,,0.0088
,,,,,,0.0149
,,,,,,0.0213
,,,,,,0.0092
,,,,,,-0.0122
,,,,,,-0.012
,,,,,,0.006
,,,,,,-0.006
,,,,,,-0.006
,,,,,,-0.0118
,,,,,,0.0304
,,,,,,-0.0179
,,,,,,0.0469
,,,,,,0.0159
,,,,,,-0.0217
,,,,,,-0.0301
,,,,,,0.0247
,,,,,,0.0452
,,,,,,0
,,,,,,0.0164
,,,,,,-0.0161
,,,,,,0.0438
,,,,,,0.0761
,,,,,,0.0036
,,,,,,0.0036
,,,,,,0.0224
,,,,,,0.051
,,,,,,-0.0485
,,,,,,0.0075
,,,,,,-0.0327
,,,,,,0.0338
,,,,,,-0.0221
,,,,,,0.0074
,,,,,,-0.0625
,,,,,,-0.0303
,,,,,,-0.01
,,,,,,-0.0033
,,,,,,0.0308
,,,,,,0.0466
,,,,,,-0.0379
,,,,,,-0.0492
,,,,,,0.0133
,,,,,,-0.0227
,,,,,,-0.0065
,,,,,,-0.0402
,,,,,,0.0625
,,,,,,0
,,,,,,-0.1163
,,,,,,-0.0875
,,,,,,0.0189
,,,,,,0.0054
,,,,,,0.0082
,,,,,,0.061
,,,,,,-0.0444
,,,,,,-0.0296
,,,,,,-0.0054
,,,,,,0.1512
,,,,,,0.0452
,,,,,,0
